doi,ref,tweet_id,tweet_url,ref_domain,alt_has
10.1287/ijoc.2014.0618,pubsonline.informs.org/doi/abs/10.1287/ijoc.2014.0618,560450374302461952,https://twitter.com/AustinLBuchanan/status/560450374302461952,pubsonline.informs.org,False
10.1287/ijoc.2014.0619,pubsonline.informs.org/doi/abs/10.1287/ijoc.2014.0619,560450466300321792,https://twitter.com/AustinLBuchanan/status/560450466300321792,pubsonline.informs.org,False
10.1287/ijoc.2015.0647,google.com/url?rct=j&sa=t&url=pubsonline.informs.org/doi/abs/10.1287/ijoc.2015.0647&ct=ga&cd=CAIyGmQ4Y2ZmNDY0OWQ4NjI1OGU6Y29tOmVuOlVT&usg=AFQjCNFriM-UnhUpO8E0MfCH7A_ZI5ygFg&utm_source=twitterfeed&utm_medium=twitter,659158963598979072,http://twitter.com/DataMiningNews1/statuses/659158963598979072,google.com,False
10.1080/0951192X.2014.924342,tandfonline.com/doi/full/10.1080/0951192X.2014.924342?scroll=top&needAccess=true,834014273332473856,http://twitter.com/puujee22/statuses/834014273332473856,tandfonline.com,False
10.1142/S0219622014500564,arxiv.org/abs/1202.4918,172614822431686656,http://twitter.com/lshlj/statuses/172614822431686656,arxiv.org,False
10.1016/j.ijpe.2015.07.006,sciencedirect.com/science/article/pii/s0925527315002546,698925288319627264,http://twitter.com/JUNPEI48000/statuses/698925288319627264,sciencedirect.com,False
10.1016/j.ijpe.2015.01.002,sro.sussex.ac.uk/65738,803547910658998272,http://twitter.com/SussexUniSRO/statuses/803547910658998272,sro.sussex.ac.uk,False
10.1002/asmb.2041,onlinelibrary.wiley.com/doi/10.1002/asmb.2041/abstract?hootPostID=5c059355b59baad475a3f1fe832f97e4,608567038232137728,http://twitter.com/Wiley_Stats/statuses/608567038232137728,onlinelibrary.wiley.com,False
10.1080/00207543.2014.937011,login.libresources1.sait.ab.ca/login?url=tandfonline.com/doi/abs/10.1080/00207543.2014.937011,932335158094479360,http://twitter.com/brieannacd/statuses/932335158094479360,login.libresources1.sait.ab.ca,False
10.1504/IJTM.2015.071031,inderscience.com/offer.php?id=71031,630130779339771904,https://twitter.com/alexanderbrem/status/630130779339771904,inderscience.com,False
10.1287/inte.2014.0786,pubsonline.informs.org/doi/abs/10.1287/inte.2014.0786,583984528391331841,http://twitter.com/INFORMS/statuses/583984528391331841,pubsonline.informs.org,False
10.1016/j.jom.2014.10.002,sciencedirect.com/science/article/pii/S0272696314000709?sf8314006=1,583615170854924288,http://twitter.com/ORMS_Elsevier/statuses/583615170854924288,sciencedirect.com,False
10.1016/j.jom.2014.10.005,sciencedirect.com/science/article/pii/S0272696314000734?sf8314191=1,586537894287953920,http://twitter.com/ORMS_Elsevier/statuses/586537894287953920,sciencedirect.com,False
10.1057/jors.2015.28,link.springer.com/article/10.1057/jors.2015.28/fulltext.html,787703337961529344,http://twitter.com/ayalew/statuses/787703337961529344,link.springer.com,False
10.1142/S0217595915500153,worldscientific.com/doi/abs/10.1142/s0217595915500153,563637459297505280,https://twitter.com/WanderingWim/status/563637459297505280,worldscientific.com,False
10.1287/msom.2015.0528,pubsonline.informs.org/doi/abs/10.1287/msom.2015.0528,590489975067648000,http://twitter.com/INFORMS/statuses/590489975067648000,pubsonline.informs.org,False
10.1287/mnsc.2014.1994,dx.doi.org/10.1287/mnsc.2014.1994,836880784472621057,http://twitter.com/Der_Gladi/statuses/836880784472621057,dx.doi.org,False
10.1287/mnsc.2014.1994,dx.doi.org/10.1287/mnsc.2014.1994,836879032591470596,http://twitter.com/fgilardi/statuses/836879032591470596,dx.doi.org,False
10.1287/mnsc.2014.2103,pubsonline.informs.org/doi/abs/10.1287/mnsc.2014.2103?journalCode=mnsc,663192814096805888,http://twitter.com/belgort/statuses/663192814096805888,pubsonline.informs.org,False
10.1287/mnsc.2014.1979,pubsonline.informs.org/doi/abs/10.1287/mnsc.2014.1979,727592630570389504,http://twitter.com/CAVALENCIA/statuses/727592630570389504,pubsonline.informs.org,False
10.1287/mnsc.2014.2030,pubsonline.informs.org/doi/10.1287/mnsc.2014.2030,1087534872200179712,http://twitter.com/SameiAli/statuses/1087534872200179712,pubsonline.informs.org,False
10.1287/moor.2014.0687,pubsonline.informs.org/doi/abs/10.1287/moor.2014.0687,534689329273380864,http://twitter.com/INFORMS/statuses/534689329273380864,pubsonline.informs.org,False
10.1016/j.cor.2015.04.018,sciencedirect.com/science?_ob=GatewayURL&_origin=IRSSSEARCH&_method=citationSearch&_piikey=S0305054815000982&_version=1&md5=3c628b16d642743ed98af59559ba41ae,600469719544508416,http://twitter.com/FlexibleNano/statuses/600469719544508416,sciencedirect.com,False
10.1016/j.cor.2015.04.018,sciencedirect.com/science?_ob=GatewayURL&_origin=IRSSSEARCH&_method=citationSearch&_piikey=S0305054815000982&_version=1&md5=3c628b16d642743ed98af59559ba41ae,600469717384495104,http://twitter.com/FlexiblePV/statuses/600469717384495104,sciencedirect.com,False
10.1016/j.cor.2014.11.017,sciencedirect.com/science?_method=citationSearch&_ob=GatewayURL&_origin=IRSSSEARCH&_piikey=S0305054814003219&_version=1&md5=4f0c4e66041ac6f051b2b03d200b91ea,552814361438203906,https://twitter.com/FlexibleNano/status/552814361438203906,sciencedirect.com,False
10.1016/j.cor.2014.11.017,sciencedirect.com/science?_method=citationSearch&_ob=GatewayURL&_origin=IRSSSEARCH&_piikey=S0305054814003219&_version=1&md5=4f0c4e66041ac6f051b2b03d200b91ea,552814359324270592,https://twitter.com/FlexiblePV/status/552814359324270592,sciencedirect.com,False
10.1016/j.cor.2014.10.005,sciencedirect.com/science?_method=citationSearch&_ob=GatewayURL&_origin=IRSSSEARCH&_piikey=S0305054814002627&_version=1&md5=35b94d22632eb34e2074a06f142cc22e,537217228165611520,https://twitter.com/drspiteri/status/537217228165611520,sciencedirect.com,False
10.1016/j.cor.2014.09.005,sciencedirect.com/science?_method=citationSearch&_ob=GatewayURL&_origin=IRSSSEARCH&_piikey=S0305054814002524&_version=1&md5=f5681687034d981af3047fbe42215eb9,547052591444926465,https://twitter.com/Qresearchbot/status/547052591444926465,sciencedirect.com,False
10.1016/j.cor.2014.06.015,sciencedirect.com/science?_method=citationSearch&_ob=GatewayURL&_origin=IRSSSEARCH&_piikey=S0305054814001737&_version=1&md5=e3ba21189c81a096fefab98ea9e449ab,537641242473926656,https://twitter.com/QualiaNow/status/537641242473926656,sciencedirect.com,False
10.1016/j.omega.2014.11.009,sciencedirect.com/science?_method=citationSearch&_ob=GatewayURL&_origin=IRSSSEARCH&_piikey=S0305048314001480&_version=1&md5=321c3f624572b784c7739e4393a1dfe2,552773591876390912,https://twitter.com/Smart_Materials/status/552773591876390912,sciencedirect.com,False
10.1287/opre.2015.1447,pubsonline.informs.org/doi/10.1287/opre.2015.1447,811578866087116800,http://twitter.com/wmijnhardt/statuses/811578866087116800,pubsonline.informs.org,False
10.1002/qre.1601,onlinelibrary.wiley.com/doi/10.1002/qre.1601/abstract?campaign=woletoc,610398699886374912,http://twitter.com/StatisticsViews/statuses/610398699886374912,onlinelibrary.wiley.com,False
