doi,altmetric_id,tweet_id,tweet_url,postedAt,postType,originalPost,has_plumx,comments,source
10.1287/ijoc.2014.0607,2707636,5.14449E+17,https://twitter.com/INFORMS/status/514449085949288448,2014-09-23T16:19:54.000Z,tweet,TRUE,FALSE,,
10.1287/ijoc.2014.0610,2774007,5.22063E+17,https://twitter.com/INFORMS/status/522063394493718529,2014-10-14T16:36:27.000Z,tweet,TRUE,FALSE,,
10.1287/ijoc.2014.0636,7999861,8.10867E+17,http://twitter.com/ucl_discovery/statuses/810867080593637376,2016-12-19T15:19:11.000Z,tweet,TRUE,FALSE,,
10.1287/ijoc.2015.0643,4420905,6.34712E+17,http://twitter.com/INFORMS/statuses/634711693109633025,2015-08-21T13:00:34.000Z,tweet,TRUE,FALSE,,
10.1287/ijoc.2014.0623,1959580,7.70751E+17,http://twitter.com/piggybox/statuses/770750617958526976,2016-08-30T22:30:41.000Z,tweet,TRUE,FALSE,,
10.1287/ijoc.2014.0623,1959580,5.79033E+17,https://twitter.com/YhatHQ/status/579033436171608064,2015-03-20T21:35:03.000Z,tweet,TRUE,FALSE,,
10.1287/ijoc.2014.0623,1959580,5.78418E+17,https://twitter.com/iaindunning/status/578417541502087168,2015-03-19T04:47:43.000Z,tweet,TRUE,FALSE,,
10.1287/ijoc.2014.0623,1959580,5.78188E+17,https://twitter.com/INFORMS/status/578187655927738369,2015-03-18T13:34:14.000Z,tweet,TRUE,FALSE,,
10.1287/ijoc.2014.0623,1959580,5.51321E+17,https://twitter.com/figuerosky/status/551321337873301504,2015-01-03T10:17:04.000Z,tweet,TRUE,FALSE,,
10.1287/ijoc.2014.0623,1959580,4.08946E+17,http://twitter.com/stephenjaoates/status/408946229989474304,2013-12-06T13:09:13.000Z,tweet,TRUE,FALSE,,
10.1287/ijoc.2014.0623,1959580,4.08901E+17,http://twitter.com/walkingrandomly/status/408901186528759808,2013-12-06T10:10:14.000Z,tweet,TRUE,FALSE,,
10.1287/ijoc.2014.0623,1959580,4.08773E+17,http://twitter.com/arXiv_cs/status/408772563478007808,2013-12-06T01:39:08.000Z,tweet,TRUE,FALSE,,
10.1080/0951192X.2014.924159,5970349,9.15993E+17,http://twitter.com/LboroOAEng/statuses/915992500397072385,2017-10-05T17:30:05.000Z,tweet,TRUE,FALSE,,
10.1142/S0219622014500564,617162,2.3968E+17,http://twitter.com/Anaconda_OPS/statuses/239679595102752768,2012-08-26T11:04:03.000Z,tweet,TRUE,FALSE,,
10.1142/S0219622014500564,617162,1.93495E+17,http://twitter.com/#!/candidusflumen/status/193495164042493953,2012-04-21T00:23:36.000Z,tweet,TRUE,FALSE,,
10.1142/S0219622014500564,617162,1.77443E+17,http://twitter.com/#!/OptiriskS/status/177442967815061504,2012-03-07T17:17:54.000Z,tweet,TRUE,FALSE,,
10.1142/S0219622014500564,617162,1.75492E+17,http://twitter.com/#!/cj_forex/status/175491567107317760,2012-03-02T08:03:44.000Z,tweet,TRUE,FALSE,,
